BRCODE,BRANCH_NAME,CIRCD,CIRCLE,NETWORK,MODCD,MODULE,REGION,POPCD,POPULATION,STATECD,STATE,DISTCD,DISTRICT,MICR,CENTRECD,CENTERNAME
10804,BORGAON,8,BHOPAL,1,1,BHOPAL,6,1,Rural,20,MADHYA PRADESH,16,CHHINDWARA,480002124,7150862,BORGAON
10805,PRASANNA VIHAR COLONY,8,BHOPAL,1,1,BHOPAL,6,1,Rural,20,MADHYA PRADESH,16,CHHINDWARA,480002123,7150871,JHURRE MAL
10806,ATHNER,8,BHOPAL,1,1,BHOPAL,6,2,Semi-Urban,20,MADHYA PRADESH,6,BETUL,460002021,7170123,ATHNER
10807,JEERAPUR,8,BHOPAL,2,3,GWALIOR,4,2,Semi-Urban,20,MADHYA PRADESH,58,RAJGARH,465002011,7340073,ZIRAPUR
10808,BIAORA,8,BHOPAL,2,3,GWALIOR,4,2,Semi-Urban,20,MADHYA PRADESH,58,RAJGARH,465002010,7340004,BIAORA
10809,NARSINGHGARH,8,BHOPAL,2,3,GWALIOR,4,2,Semi-Urban,20,MADHYA PRADESH,58,RAJGARH,465002012,7340014,NARSINGHGARH
10816,GAIRATGANJ,8,BHOPAL,1,1,BHOPAL,3,2,Semi-Urban,20,MADHYA PRADESH,56,RAISEN,464002023,7020012,GAIRATGANJ
10817,OBEDULLAGANJ,8,BHOPAL,1,1,BHOPAL,3,2,Semi-Urban,20,MADHYA PRADESH,56,RAISEN,464002016,7020033,OBEDULLAGANJ
10818,ICHHAWAR,8,BHOPAL,1,1,BHOPAL,4,2,Semi-Urban,20,MADHYA PRADESH,70,SEHORE,466002016,7000053,ICHHAWAR
10819,BUDHNI,8,BHOPAL,1,1,BHOPAL,4,2,Semi-Urban,20,MADHYA PRADESH,70,SEHORE,466002015,7000033,BUDNI
10820,GANJ BASODA,8,BHOPAL,1,1,BHOPAL,3,2,Semi-Urban,20,MADHYA PRADESH,88,VIDISHA,464002051,7350015,BASODA
10823,SIRONJ,8,BHOPAL,1,1,BHOPAL,3,2,Semi-Urban,20,MADHYA PRADESH,88,VIDISHA,464002019,7350024,SIRONJ
10824,BARELA,8,BHOPAL,2,4,JABALPUR,1,2,Semi-Urban,20,MADHYA PRADESH,38,JABALPUR,483002034,7100033,BARELA
10825,KEOLARI,8,BHOPAL,2,4,JABALPUR,2,1,Rural,20,MADHYA PRADESH,72,SEONI,,7130012,KEOLARI
10826,SASAN,8,BHOPAL,2,4,JABALPUR,3,1,Rural,20,MADHYA PRADESH,81,SINGRAULI,486002052,2950281,SHASAN
10827,MAUGANJ,8,BHOPAL,2,4,JABALPUR,3,2,Semi-Urban,20,MADHYA PRADESH,64,REWA,486002016,7470024,MAUGANJ
10828,ARANG,8,BHOPAL,3,5,RAIPUR,2,2,Semi-Urban,7,CHATTISGARH,54,RAIPUR,493002156,7600023,ARANG
10829,KASDOL,8,BHOPAL,3,5,RAIPUR,2,2,Semi-Urban,7,CHATTISGARH,31,BALODA BAZAR,493002162,3230003,KASDOL
10830,SIMGA,8,BHOPAL,3,5,RAIPUR,2,2,Semi-Urban,7,CHATTISGARH,31,BALODA BAZAR,493002163,3230173,SIMGA
10831,KURUD,8,BHOPAL,3,5,RAIPUR,5,2,Semi-Urban,7,CHATTISGARH,7,DHAMTARI,493002104,7040123,KURUD
10832,NAGRI,8,BHOPAL,3,5,RAIPUR,5,2,Semi-Urban,7,CHATTISGARH,7,DHAMTARI,493002105,7040173,NAGRI
10833,TAKHATPUR,8,BHOPAL,3,6,BILASPUR,1,2,Semi-Urban,7,CHATTISGARH,12,BILASPUR,495002185,7540143,TAKHATPUR
10834,KOTA,8,BHOPAL,3,6,BILASPUR,1,2,Semi-Urban,7,CHATTISGARH,12,BILASPUR,495002186,7541683,KOTA
10835,DHAMDHA,8,BHOPAL,3,5,RAIPUR,3,1,Rural,7,CHATTISGARH,26,DURG,491002031,7500992,DHAMDHA
10836,PATAN,8,BHOPAL,3,5,RAIPUR,3,2,Semi-Urban,7,CHATTISGARH,26,DURG,491002032,7500252,PATAN
10837,PATTHALGAON,8,BHOPAL,3,6,BILASPUR,3,2,Semi-Urban,7,CHATTISGARH,13,JASHPUR,496002102,7070233,PATHALGAON
10838,COLLECTORATE JASHPUR NAGAR,8,BHOPAL,3,6,BILASPUR,3,2,Semi-Urban,7,CHATTISGARH,13,JASHPUR,496002402,7070004,JASHPURNAGAR
10839,COLL. BHIND,8,BHOPAL,2,3,GWALIOR,2,3,Urban,20,MADHYA PRADESH,8,BHIND,477002004,7390006,BHIND
10840,GOHAD,8,BHOPAL,2,3,GWALIOR,2,2,Semi-Urban,20,MADHYA PRADESH,8,BHIND,477002005,7390014,GOHAD
10841,MEHGAON,8,BHOPAL,2,3,GWALIOR,2,2,Semi-Urban,20,MADHYA PRADESH,8,BHIND,477002006,7390043,MEHGAON
10842,LAHAR,8,BHOPAL,2,3,GWALIOR,2,2,Semi-Urban,20,MADHYA PRADESH,8,BHIND,477002007,7390024,LAHAR
10844,AMBAH,8,BHOPAL,2,3,GWALIOR,2,2,Semi-Urban,20,MADHYA PRADESH,46,MORENA,476002060,7380024,AMBAH
10845,KAILARAS,8,BHOPAL,2,3,GWALIOR,2,2,Semi-Urban,20,MADHYA PRADESH,46,MORENA,476002014,7380054,KAILARAS
10846,PORSA,8,BHOPAL,2,3,GWALIOR,2,2,Semi-Urban,20,MADHYA PRADESH,46,MORENA,476002015,7380064,PORSA
10847,BINAGANJ,8,BHOPAL,2,3,GWALIOR,4,2,Semi-Urban,20,MADHYA PRADESH,30,GUNA,473002013,7360033,CHACHODA BINAGANJ
10853,KHANIADHANA,8,BHOPAL,2,3,GWALIOR,5,2,Semi-Urban,20,MADHYA PRADESH,78,SHIVPURI,473002015,7370073,KHANIYADHANA
10855,MAKRONIA-SAGAR,8,BHOPAL,2,4,JABALPUR,5,3,Urban,20,MADHYA PRADESH,66,SAGAR,470002007,7050007,SAGAR
10856,RAHATGARH,8,BHOPAL,2,4,JABALPUR,5,2,Semi-Urban,20,MADHYA PRADESH,66,SAGAR,470002320,7050074,RAHATGARH
10858,COLL. TIKAMGRH,8,BHOPAL,2,3,GWALIOR,3,2,Semi-Urban,20,MADHYA PRADESH,84,TIKAMGARH,472002014,7430005,TIKAMGARH
10859,CHOWK BAZAR CHHATARPUR,8,BHOPAL,2,3,GWALIOR,3,3,Urban,20,MADHYA PRADESH,14,CHHATARPUR,471002019,7440006,CHHATARPUR
10860,INDERGARH,8,BHOPAL,2,3,GWALIOR,1,2,Semi-Urban,20,MADHYA PRADESH,20,DATIA,475002007,7420013,INDERGARH
11739,TATIBANDHRAIPUR,8,BHOPAL,3,5,RAIPUR,1,4,Metro,7,CHATTISGARH,54,RAIPUR,492002025,7600008,RAIPUR
11740,CITY BRANCH BILASPUR,8,BHOPAL,3,6,BILASPUR,1,3,Urban,7,CHATTISGARH,12,BILASPUR,495002013,7540007,BILASPUR
11763,BASANT VIHAR COLONYINDORE,8,BHOPAL,1,2,INDORE,2,4,Metro,20,MADHYA PRADESH,36,INDORE,452002028,7200009,INDORE
11765,IISER CAMPUS BR BHOPAL,8,BHOPAL,1,1,BHOPAL,2,4,Metro,20,MADHYA PRADESH,10,BHOPAL,462002057,7640009,BHOPAL
11772,DOCUMENT ARCHIVAL CENTREBHOPAL,8,BHOPAL,1,1,BHOPAL,8,4,Metro,20,MADHYA PRADESH,20,DATIA,,7640009,BHOPAL
11775,SMECCC RAIPUR,8,BHOPAL,3,5,RAIPUR,8,4,Metro,7,CHATTISGARH,54,RAIPUR,492002027,7600008,RAIPUR
11779,KHANDWA ROADINDORE,8,BHOPAL,1,2,INDORE,2,4,Metro,20,MADHYA PRADESH,36,INDORE,452002029,7200009,INDORE
11787,AWADHPURI BHOPAL,8,BHOPAL,1,1,BHOPAL,2,4,Metro,20,MADHYA PRADESH,10,BHOPAL,462002058,7640009,BHOPAL
12123,SHRIKANT VERMA MARG BR. BILASPUR,8,BHOPAL,3,6,BILASPUR,1,4,Metro,7,CHATTISGARH,12,BILASPUR,,7600008,RAIPUR
12124,RATANPUR,8,BHOPAL,3,6,BILASPUR,1,2,Semi-Urban,7,CHATTISGARH,12,BILASPUR,495002464,7540163,RATANPUR
12126,BILHA,8,BHOPAL,3,6,BILASPUR,1,2,Semi-Urban,7,CHATTISGARH,12,BILASPUR,495002021,7540072,BILHA
12127,MASTURI,8,BHOPAL,3,6,BILASPUR,1,1,Rural,7,CHATTISGARH,12,BILASPUR,495002904,7540252,MASTURI
12128,VAISHALI NAGARBHILAI,8,BHOPAL,3,5,RAIPUR,3,3,Urban,7,CHATTISGARH,26,DURG,490002015,7500008,BHILAI NAGAR
12129,BHILAI CHARODA,8,BHOPAL,3,5,RAIPUR,3,2,Semi-Urban,7,CHATTISGARH,26,DURG,490002019,7500215,BHILAI CHARODA
12130,GUNDARDEHI,8,BHOPAL,3,5,RAIPUR,5,1,Rural,7,CHATTISGARH,34,BALOD,491002006,3280162,GUNDARDEHI
12132,CHANDRAHASNI,8,BHOPAL,3,6,BILASPUR,2,1,Rural,7,CHATTISGARH,9,JANJGIR-CHAMPA,,7530122, CHANDRAPUR
12133,DABHRA CHOWK,8,BHOPAL,3,6,BILASPUR,2,1,Rural,7,CHATTISGARH,9,JANJGIR-CHAMPA,495002130,7530142,DABHARA
12134,BARADWAR,8,BHOPAL,3,6,BILASPUR,2,1,Rural,7,CHATTISGARH,9,JANJGIR-CHAMPA,,7530461,BARADWAR BASTI
12135,KOTBA,8,BHOPAL,3,6,BILASPUR,3,1,Rural,7,CHATTISGARH,13,JASHPUR,496002122,7070152,KOTBA
12136,PHARSABAHAR,8,BHOPAL,3,6,BILASPUR,3,1,Rural,7,CHATTISGARH,13,JASHPUR,496002462,7070241,PHARSABAHAR
12137,COLLECTORATEKANKER,8,BHOPAL,3,5,RAIPUR,5,2,Semi-Urban,7,CHATTISGARH,15,KANKER,,7610004,KANKER
12139,KORBA CITY,8,BHOPAL,3,6,BILASPUR,2,3,Urban,7,CHATTISGARH,19,KORBA,495002317,7550007,KORBA
12140,URGA,8,BHOPAL,3,6,BILASPUR,2,1,Rural,7,CHATTISGARH,19,KORBA,495002321,7550361,URGA
12141,COLLECTORATEMAHASAMUND,8,BHOPAL,3,5,RAIPUR,2,2,Semi-Urban,7,CHATTISGARH,23,MAHASAMUND,,7590004,MAHASAMUND
12142,TAMNAR VILLAGE,8,BHOPAL,3,6,BILASPUR,3,1,Rural,7,CHATTISGARH,52,RAIGARH,496002182,7580551,TAMNAR
12143,CHHAL,8,BHOPAL,3,6,BILASPUR,3,1,Rural,7,CHATTISGARH,52,RAIGARH,496002184,7580251,CHHAL
12145,GERWANI BRANCH,8,BHOPAL,3,6,BILASPUR,3,1,Rural,7,CHATTISGARH,52,RAIGARH,,7580451,GERWANI
12146,KORAR,8,BHOPAL,3,5,RAIPUR,5,1,Rural,7,CHATTISGARH,15,KANKER,494002161,7610111,KORAR
12147,BHANPURI,8,BHOPAL,3,5,RAIPUR,1,2,Semi-Urban,7,CHATTISGARH,54,RAIPUR,493002106,7601633,BHANPURI
12148,MOWA,8,BHOPAL,3,5,RAIPUR,1,2,Semi-Urban,7,CHATTISGARH,54,RAIPUR,,7600623,MOWA 
12150,LALBURHA,8,BHOPAL,2,4,JABALPUR,2,1,Rural,20,MADHYA PRADESH,2,BALAGHAT,481002028,7520702,PANDHARWANI
12152,SADAR BAZAR BETUL,8,BHOPAL,1,1,BHOPAL,6,3,Urban,20,MADHYA PRADESH,6,BETUL,460002022,7170015,BETUL
12153,GHUWARA,8,BHOPAL,2,3,GWALIOR,3,2,Semi-Urban,20,MADHYA PRADESH,14,CHHATARPUR,,7440153,GHUWARA
12154,BHANDER,8,BHOPAL,2,3,GWALIOR,1,2,Semi-Urban,20,MADHYA PRADESH,20,DATIA,475002009,7420254,BHANDER
12156,KUKSHI,8,BHOPAL,1,2,INDORE,3,2,Semi-Urban,20,MADHYA PRADESH,24,DHAR,454002005,7240014,KUKSHI
12158,SHAHAPUR,8,BHOPAL,1,1,BHOPAL,5,2,Semi-Urban,20,MADHYA PRADESH,26,BURHANPUR,450002001,7250173,"SHAHPUR	 "
12159,ANANDNAGARKHANDWA,8,BHOPAL,1,1,BHOPAL,5,3,Urban,20,MADHYA PRADESH,28,EAST NIMAR (KHANDWA),450002014,7180016,KHANDWA
12160,RASULIYA HOSHANGABAD,8,BHOPAL,1,1,BHOPAL,4,3,Urban,20,MADHYA PRADESH,34,HOSHANGABAD,,7160025,HOSHANGABAD
12161,NEW MARKET ITARSI,8,BHOPAL,1,1,BHOPAL,4,2,Semi-Urban,20,MADHYA PRADESH,34,HOSHANGABAD,461002030,7160015,ITARSI
12162,RAU,8,BHOPAL,1,2,INDORE,1,2,Semi-Urban,20,MADHYA PRADESH,36,INDORE,,7200084,RAU
12164,KATANGI,8,BHOPAL,2,4,JABALPUR,1,2,Semi-Urban,20,MADHYA PRADESH,38,JABALPUR,483002125,7101113, KATANGI (NP)
12166,MAJHOULI,8,BHOPAL,2,4,JABALPUR,1,2,Semi-Urban,20,MADHYA PRADESH,38,JABALPUR,483002126,7100313,MAJHOLI
12167,ALIRAJPUR,8,BHOPAL,1,2,INDORE,6,2,Semi-Urban,20,MADHYA PRADESH,82,ALIRAJPUR,457002016,2960154,ALIRAJPUR
12168,PETLAWAD,8,BHOPAL,1,2,INDORE,6,2,Semi-Urban,20,MADHYA PRADESH,40,JHABUA,457002015,7260043,PETLAWAD
12169,PADAV MANDLA,8,BHOPAL,2,4,JABALPUR,2,2,Semi-Urban,20,MADHYA PRADESH,42,MANDLA,481002029,7120005,MANDLA
12171,TENDUKHEDA,8,BHOPAL,2,4,JABALPUR,5,2,Semi-Urban,20,MADHYA PRADESH,48,NARSINGHPUR,487002013,7140172,TENDUKHEDA
12174,PANNA CITY,8,BHOPAL,2,3,GWALIOR,6,2,Semi-Urban,20,MADHYA PRADESH,50,PANNA,488002025,7450005,PANNA
12175,PACHORE,8,BHOPAL,2,3,GWALIOR,4,2,Semi-Urban,20,MADHYA PRADESH,58,RAJGARH,465002015,7340054,PACHORE
12180,SEMARIYA,8,BHOPAL,2,4,JABALPUR,3,2,Semi-Urban,20,MADHYA PRADESH,64,REWA,,7470833,SEMARIA
12181,MEDICAL COLLEGE BRSAGAR,8,BHOPAL,2,4,JABALPUR,5,3,Urban,20,MADHYA PRADESH,66,SAGAR,470002321,7050007,SAGAR
12182,SHAHPUR (GANESHGUNJ),8,BHOPAL,2,4,JABALPUR,5,2,Semi-Urban,20,MADHYA PRADESH,66,SAGAR,,7050113,SHAHPUR
12183,DHANASAGAR,8,BHOPAL,2,4,JABALPUR,5,1,Rural,20,MADHYA PRADESH,66,SAGAR,470002323,7050163,DHANA
12184,MANDI BAMORA,8,BHOPAL,2,4,JABALPUR,5,1,Rural,20,MADHYA PRADESH,66,SAGAR,470002322,7050061,MANDI BAMORA
12185,RAMPUR BAGHELAN,8,BHOPAL,2,4,JABALPUR,3,2,Semi-Urban,20,MADHYA PRADESH,68,SATNA,485002008,7460033,RAMPUR BAGHELAN
12186,SHYAMPUR,8,BHOPAL,1,1,BHOPAL,4,2,Semi-Urban,20,MADHYA PRADESH,70,SEHORE,466002017,7000092,SHAMPUR
12187,MANGLIPETH BRSEONI,8,BHOPAL,2,4,JABALPUR,2,3,Urban,20,MADHYA PRADESH,72,SEONI,480002009,7130005,SEONI
12188,MARKET AREA BRSHAHDOL,8,BHOPAL,2,4,JABALPUR,4,2,Semi-Urban,20,MADHYA PRADESH,74,SHAHDOL,484002055,7490975,SHAHDOL
